Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
Shrimp Creamy Tom Yum Flavour,100 g,67.22,2.22,0.67,0.28
Kaldu Udang,100 g,430.77,60.0,15.38,9.23
Sponge Crunch Cheddar Cheese,100 g,583.33,58.33,37.5,8.33
Spicy Cheese Dumpling,100 g,200.0,14.44,11.11,11.11
Shumai,100 g,175.0,27.5,5.0,7.5
Shrimp Shumai,100 g,158.54,19.51,4.27,9.76
Sambal Uleg Udang,100 g,437.5,12.5,37.5,12.5
Udang Popcorn Lapis Tepung,100 g,150.0,23.0,2.0,11.0
Kerupuk Udang Rasa Kari,100 g,466.67,66.67,20.0,0.0
Shrimp Roll,100 g,222.22,20.0,11.11,8.89
Petis,100 g,127.0,1.94,2.3,23.78
Shrimp Wonton Soup,100 g,261.9,42.86,5.95,8.33
Shrimp Crackers,100 g,500.0,64.29,25.0,7.14
Bola Udang,100 g,160.0,17.0,6.0,9.0
Terasi Udang,100 g,125.0,0.0,0.0,25.0
Petis Udang,100 g,350.0,60.0,2.5,25.0
Shrimp Hakau,100 g,162.16,22.97,4.05,6.76
Pangsit Udang,100 g,226.19,36.9,5.36,8.33
Golden Money Bag,100 g,145.83,25.0,0.0,8.33
Kekian,100 g,750.0,100.0,0.0,75.0
Siomay,100 g,206.06,10.91,13.03,10.91
Kerupuk Udang Nusantara,100 g,350.0,75.0,0.0,10.0
Sambal Ijo,100 g,409.09,9.09,36.36,9.09
Bakso Udang,100 g,120.0,18.0,2.0,7.0
Mini Wonton,100 g,320.0,34.0,14.0,10.0
Kerupuk Udang,100 g,120.0,80.0,0.0,10.0
Udang Scampi,100 g,212.0,0.01,15.83,16.87
Quick Bites Odeng Kue Ikan,100 g,216.67,23.33,8.33,10.0
Cumi-Cumi,100 g,92.0,3.08,1.38,15.58
Cumi Saus Padang,100 g,160.0,7.12,8.02,14.67
Cumi Asin,100 g,173.0,2.52,8.19,20.92
Cumi Goreng,100 g,125.0,9.9,2.17,15.13
Cumi Kukus Atau Rebus,100 g,91.0,3.05,1.37,15.45
Cumi Sambalado,100 g,199.5,3.0,11.5,16.0
Squid Ball Bakso Cumi,100 g,100.0,12.0,0.0,12.0
Imitation Squid Flower,100 g,133.33,10.0,5.56,10.0
Moricle Moringa Latte,100 g,400.0,56.0,12.0,20.0
Kerang Hijau,100 g,171.0,6.15,5.02,23.71
Kerang,100 g,217.0,10.49,10.96,18.14
Kerang Kukus Atau Rebus,100 g,106.0,2.33,3.09,16.18
Sate Kerang,100 g,155.0,10.8,3.69,19.58
Kerang (Spesies Campuran),100 g,88.0,2.36,0.76,16.78
Kerang Panggang,100 g,132.0,2.92,3.86,20.22
Pancake (Campuran Kering),100 g,194.0,36.7,2.5,5.2
Tapioka Mutiara Kering,100 g,358.0,88.69,0.02,0.19
Kelapa Kering,100 g,660.0,23.65,64.53,6.88
Spaghetti Kering,100 g,371.0,74.67,1.51,13.04
"Saus Kari (Kering, Dikeringkan)",100 g,427.0,50.62,23.1,9.38
"Jamur (Kering Padat, Kaleng)",100 g,25.0,5.09,0.29,1.87
Biji Wijen Kering Utuh,100 g,573.0,23.45,49.67,17.73
Roti Isi (Campu Kering),100 g,386.0,76.2,3.4,11.0
Salami Babi (Kering Atau Keras),100 g,407.0,1.6,33.72,22.58
Kacang Sangrai Kering (Dengan Garam),100 g,585.0,21.51,49.66,23.68
"Roti Isi (Campur Kering, Komersial)",100 g,178.0,21.7,8.6,3.2
Cranberry Kering (Dimaniskan),100 g,308.0,82.36,1.37,0.07
Kacang Pinus Kering,100 g,673.0,13.08,68.37,13.69
Biji Bunga Matahari Kering (Tanpa Garam),100 g,582.0,24.07,49.8,19.33
Kacang Kemiri Sangrai Kering (Dengan Tambahan Garam),100 g,710.0,13.55,74.27,9.5
"Biskuit Tawar Atau Mentega (Campuran Kering, Siap)",100 g,335.0,48.4,12.1,7.3
Biji Bunga Matahari Kering,100 g,570.0,18.76,49.57,22.78
Pasta Gandum Utuh Kering,100 g,348.0,75.03,1.4,14.63
"Halibut (Ikan) Atlantik Dan Pasifik (Dimasak, Panas Kering)",100 g,140.0,0.0,2.94,26.69
"Kacang Hijau (Kering Padat, Kaleng)",100 g,69.0,12.58,0.35,4.42
Kacang Sangrai Kering (Tanpa Garam),100 g,585.0,21.51,49.66,23.68
"Kacang Campuran Sangrai Kering (Dengan Kacang Tanah, Dengan Tambahan Garam)",100 g,594.0,25.35,51.45,17.3
Almond Sangrai Kering (Dengan Tambahan Garam),100 g,597.0,19.29,52.83,22.09
Roti Jagung (Muffin Jagung) (Campuran Kering),100 g,418.0,69.5,12.2,7.0
Kacang Almond Panggang Kering (Tanpa Tambahan Garam),100 g,597.0,19.29,52.83,22.09
Kacang Kemiri Kering Sangrai (Tanpa Tambahan Gula),100 g,710.0,13.55,74.27,9.5
Kacang Macadamia Sangrai Kering (Dengan Tambahan Garam),100 g,716.0,12.83,76.08,7.79
Muesli (Kering Buah-Buahan Dan Kacang-Kacangan),100 g,340.0,77.8,4.9,9.7
Biji Bunga Matahari  Sangrai Kering(Dengan Tambahan Garam),100 g,582.0,24.07,49.8,19.33
"Ikan Tuna Ringan (Kering Padat Dalam Air, Kalengan)",100 g,116.0,0.0,0.82,25.51
"Ikan Putih Tuna (Kering Padat Dalam Air, Kalengan)",100 g,128.0,0.0,2.97,23.62
Aprikot Kering,100 g,241.0,62.64,0.51,3.39
Jamur Merang,100 g,28.0,4.86,0.4,2.79
Air Keran,100 g,0.0,0.0,0.0,0.0
Rumput Laut Kering,100 g,298.0,52.39,4.01,31.84
Apel Kering,100 g,243.0,65.89,0.32,0.93
Cranberry Kering,100 g,308.0,82.36,1.37,0.07
Prune Kering,100 g,240.0,63.88,0.38,2.18
Kering Tempe,100 g,259.0,26.94,12.93,13.6
Kering Kentang,100 g,317.0,33.54,16.54,10.46
Kacang Asin Sangrai Kering,100 g,585.0,21.51,49.66,23.68
Buncis Kering Dimasak,100 g,236.0,27.55,10.7,8.77
Campuran Buah Kering,100 g,244.0,64.81,0.44,2.19
Kacang Mete Sangrai Kering,100 g,574.0,32.69,46.35,15.31
Kacang Campuran Sangrai Kering,100 g,594.0,25.35,51.45,17.3
Kacang Tawar Sangrai Kering,100 g,585.0,21.51,49.66,23.68
Biji Bunga Matahari (Yang) Dikuliti Sangrai Kering,100 g,582.0,24.07,49.8,19.33
Makaroni Atau Mie Dengan Keju (Campuran Kering),100 g,219.0,25.74,10.06,6.25
Kentang Tumbuk (Dari Kentang Kering),100 g,105.0,12.22,5.56,2.02
Biskuit Kering,100 g,500.0,66.67,23.33,6.67
Soes Kering,100 g,500.0,62.5,25.0,12.5
Kuetiaw Kering,100 g,360.0,82.0,0.0,7.0
Roti Kering,100 g,388.89,77.78,0.0,11.11
Soes Kering Cheese,100 g,625.0,37.5,43.75,12.5
Mie Kering Gandum,100 g,375.0,77.21,1.47,11.76
Buah Plum Kering,100 g,300.0,66.67,0.0,0.0
Mie Kering Shirataki,100 g,120.0,28.0,0.0,2.0
Soes Kering Original,100 g,571.43,42.86,35.71,14.29
Mie Kering Pipih,100 g,378.57,77.14,1.79,12.14
Kembang Tahu Kering,100 g,380.0,23.3,13.8,49.0
Sambal Rebon Kering,100 g,333.33,33.33,16.67,33.33
Mayonais Kurang Lemak,100 g,360.0,28.0,24.0,0.0
Ikan Teri Kering,100 g,170.0,0.0,3.0,33.4
Broker Brownies Kering,100 g,540.0,58.0,30.0,8.0
Bagelen Kering Rasa Keju,100 g,500.0,60.0,25.0,10.0
Singles Light 25% Kurang Lemak,100 g,205.88,5.88,11.76,17.65
Tahu,100 g,78.0,2.1,4.95,7.97
Tahu Kukus,100 g,78.0,1.93,4.34,7.97
Oseng Tahu,100 g,232.0,9.42,18.64,10.19
Sup Tahu,100 g,63.0,4.09,3.0,5.02
Tahu Kuning,100 g,80.0,0.8,4.7,10.9
Tahu Cabe Garam,100 g,153.0,23.22,3.33,7.89
Tahu Kecap,100 g,144.0,9.03,9.06,9.37
Tahu Bakso,100 g,167.0,27.0,3.0,8.0
Tahu Aci,100 g,217.0,18.18,14.07,6.39
Tahu Telur Tomat,100 g,100.0,5.0,8.0,8.0
Tahu Putih,100 g,120.0,3.33,7.33,10.67
Egg Tofu,100 g,70.0,1.0,7.0,5.0
Tahu Original,100 g,110.0,2.0,7.0,10.0
Tahu Susu,100 g,89.74,1.28,5.13,8.97
Tahu Bakar,100 g,118.0,4.04,7.08,12.06
Pepes Tahu Jamur,100 g,103.0,5.87,5.95,8.38
Tahu Gejrot,100 g,98.0,1.81,8.04,6.05
Tofu Tempe Delight,100 g,168.0,4.0,12.67,10.67
Seafood Tofu,100 g,200.0,10.0,16.0,8.0
Tahu Sutra Silken Tofu,100 g,115.0,2.0,8.0,9.0
Agedashi Tofu,100 g,100.0,8.0,5.0,5.0
Sapo Tahu,100 g,76.0,1.63,4.0,8.3
Tofu Telur,100 g,71.43,4.29,2.14,10.0
Chicken Tofu,100 g,400.0,7.5,25.0,35.0
Tahu Sutera,100 g,110.0,6.0,5.0,10.0
Mori-Nu Silken Tofu Organic,100 g,52.94,1.18,2.35,4.71
Sotong Tahu Bulat,100 g,346.0,50.72,14.02,4.55
Japanese Silken Tofu,100 g,115.0,2.0,8.0,9.0
Silken Tofu,100 g,80.0,2.4,3.2,10.4
Mangkok Tahu,100 g,710.0,6.0,65.0,26.0
Silken Egg Tofu,100 g,130.0,4.0,7.0,12.0
Tofu Telur Ayam,100 g,85.71,2.86,4.29,10.0
Tofu Rasa Udang,100 g,85.71,0.0,4.29,10.0
Tahu Sutera Telur,100 g,130.0,4.0,7.0,12.0
Tahu Kocek,100 g,203.0,10.11,14.04,13.19
Kembang Tahu,100 g,380.0,23.3,13.8,48.9
Mapo Tofu With Mushroom Szechuan Sauce,100 g,103.85,3.08,6.15,9.23
Kung Pao Fish With Yang Chow Fried Rice,100 g,189.2,18.8,5.2,16.8
Tofu Telur Veggie,100 g,85.71,4.29,4.29,8.57
Tempe,100 g,193.0,9.39,10.8,18.54
Tempe Rebus,100 g,196.0,9.35,11.38,18.19
Tempe Orek,100 g,175.0,15.6,8.2,13.11
Tempe Mendoan,100 g,200.0,12.69,12.78,11.18
Tempe Balado,100 g,242.0,11.47,17.05,14.69
Tempe Kecap,100 g,189.0,11.06,12.09,12.02
Oseng Buncis Tempe,100 g,210.0,32.3,6.45,7.94
Tempe Penyet,100 g,198.0,12.84,11.43,15.68
Keripik Tempe,100 g,534.0,58.41,31.92,5.15
Tempe Gembus,100 g,65.0,12.11,0.2,3.46
Steak Tempe,100 g,179.0,13.99,9.25,11.76
Buncis Orek Tempe,100 g,211.11,12.22,13.33,8.89
Tempe Chips Original,100 g,560.0,50.0,30.0,15.0
Krumpe,100 g,500.0,55.0,25.0,15.0
Keripik Tempe Rasa Tempe Orek,100 g,550.0,35.0,35.0,25.0
Tempeh Chips (Spicy Balado),100 g,560.0,52.0,36.0,12.0
Tempe Rasa Original,100 g,550.0,40.0,35.0,20.0
Tempe Chips Sour Cream,100 g,560.0,48.0,32.0,16.0
Tempe Chips,100 g,266.47,33.88,11.53,8.76
Tempe Chicken Onion,100 g,550.0,60.0,30.0,10.0
Tempe Himalayan Salt,100 g,600.0,46.67,40.0,13.33
Yc Nasi Yummy Daging Sapi Suwir,100 g,181.48,25.93,6.3,5.19
Fish Ma La Xiang Guo With Salted Fish Fried Rice + Kungpao Tempe,100 g,433.0,45.0,13.0,32.0
Semur Telur,100 g,130.0,5.27,7.81,9.7
Maklor,100 g,225.0,25.07,10.07,8.2
Putih Telur,100 g,52.0,0.73,0.17,10.9
Telur Puyuh Rebus,100 g,157.0,0.41,11.05,13.0
Telur Tomat,100 g,82.0,4.02,4.66,5.65
Telur Ceplok,100 g,92.0,0.4,7.04,6.27
Telur Rebus,100 g,452.94,3.29,31.06,36.82
Telur Kukus,100 g,144.0,3.26,7.85,14.26
Telur Ayam Kampung,100 g,140.0,1.67,9.0,13.67
Martabak,100 g,315.0,40.6,14.65,8.15
Quail Egg,100 g,162.5,0.88,12.25,12.5
Martabak Telur,100 g,185.0,18.52,7.68,9.9
Fu Yung Hai,100 g,131.0,3.61,9.71,7.55
Telur,100 g,174.0,1.2,14.0,10.8
Telur Omega,100 g,100.0,1.0,6.0,4.0
Telur Ayam Omega 3,100 g,150.0,1.67,10.0,11.67
Gudeg Original,100 g,190.0,10.0,12.0,11.0
Healthy Japanese Chicken Ramen + Korean Mayak Egg,100 g,468.0,48.0,12.0,42.0
Kacang Telur,100 g,560.0,52.0,36.0,4.0
Telur Ayam Negeri Rendah Kolestrol,100 g,158.73,0.0,14.29,11.11
Telur Pitan,100 g,171.0,5.1,11.0,12.15
Kuning Telur,100 g,322.0,3.59,26.54,15.86
Nasi Goreng Spesial,100 g,230.0,22.0,13.0,7.0
Aice Chocolate,100 g,90.0,14.0,4.0,2.0
Nata De Coco,100 g,66.67,16.44,0.0,0.0
Telur Asin,100 g,214.06,1.69,15.98,14.86
Roti Martabak,100 g,247.0,29.91,8.65,11.74
"Salad Selada Dengan Telur, Keju, Tomat Dan / Atau Wortel",100 g,52.0,3.14,3.14,3.33
Telur Dadar Atau Telur Orak-Arik Dengan Daging Babi (Asap),100 g,184.0,1.48,13.05,14.22
Ayam Bawang Telur,100 g,480.52,58.44,23.38,7.79
Pengganti Telur (Cair),100 g,84.0,0.64,3.31,12.0
Sayur Campuran,100 g,60.0,13.09,0.15,2.86
Sayur Campur Tumis,100 g,120.0,0.0,0.0,0.0
Sayuran Rebus (Tanpa Daging),100 g,56.0,9.73,0.97,2.65
Sayur Bening Bayam,100 g,36.0,7.64,0.37,1.79
"Sayuran Campur Matang (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau Dan Wortel)",100 g,81.0,12.74,2.12,2.78
Sayur Tahu Toge,100 g,86.0,12.91,1.93,5.93
Sayur Nangka,100 g,66.0,8.7,3.5,1.3
Sayur Pakis,100 g,34.0,5.54,0.4,4.55
Sayur Toge,100 g,114.0,0.0,0.0,3.4
Bumbu Racik Sayur Asem,100 g,312.5,75.0,0.0,12.5
Sayur Gedi,100 g,51.0,10.0,0.88,3.06
Panzerotti Dengan Sayuran Dan Keju,100 g,250.0,18.19,16.74,6.75
Jus Campuran Sayuran (Sayuran Lain Selain Tomat),100 g,7100.0,1493.0,59.0,367.0
Siomay Ayam Sayur,100 g,195.4,25.29,5.75,9.2
Prenagen Buah Dan Sayur,100 g,42.42,11.82,0.0,0.0
Promina Sup Mi Ayam Sayur,100 g,425.0,62.5,15.0,12.5
Bumbu Sayur Asem,100 g,250.0,42.86,3.57,0.0
Jus Sayur Koktail (Kalengan),100 g,4600.0,1101.0,22.0,152.0
"Sup Ayam (Dan) Sayur (Dengan Volume Air Yang Sama, Kalengan)",100 g,7500.0,858.0,284.0,362.0
Sup Mi Daging Sayur,100 g,464.29,64.29,16.07,12.5
Pengganti Krim (Cair),100 ml,138.0,11.54,10.11,1.01
Krekers Sayur,100 g,500.0,70.0,20.0,10.0
Ikan Layur,100 g,88.0,0.38,1.02,18.04
Mandu Isi Daging Dan Sayur,100 g,200.0,26.0,8.0,8.0
Sayuran Campur (Beku),100 g,64.0,13.46,0.52,3.33
Lontong Isi Sayur,100 g,139.0,23.22,4.12,2.39
Bumbu Kuah Sayur Sop,100 g,200.0,40.0,0.0,0.0
Bumbu Kuah Sayur Asem,100 g,312.5,75.0,0.0,0.0
Sup Krim Sayur & Bawang,100 g,400.0,66.67,6.67,6.67
Tuna Dalam Minyak Sayur,100 g,150.0,1.0,6.0,22.0
Sayur Brongkos,100 g,142.0,12.21,3.67,14.87
Bumbu Racik Sayur Lodeh,100 g,200.0,40.0,0.0,0.0
Risol Sayur,100 g,208.0,25.15,10.03,4.64
Bumbu Racik Sayur Sop,100 g,200.0,20.0,0.0,20.0
Malkist Sayur,100 g,500.0,65.0,20.0,10.0
Sayur Umbut Kelapa,100 g,67.0,5.18,2.89,5.57
Sup Mi Ayam Sayur,100 g,444.44,66.67,14.81,12.96
Sup Sayuran,100 g,446.15,61.54,16.92,9.23
Makaroni Rasa Sup Sayuran,100 g,325.0,67.5,1.25,12.5
Bayam Dimasak (Dari Segar),100 g,40.0,3.68,2.25,2.88
Bayam,100 g,23.0,3.63,0.39,2.86
Tumis Bayam,100 g,86.0,4.68,6.81,3.3
Keripik Bayam,100 g,537.0,49.22,36.48,3.06
"Bayam Dimasak (Dari Beku, Lemak Tidak Ditambahkan Dalam Masakan)",100 g,32.0,5.13,0.5,3.99
"Bayam (Cincang Atau Daun, Beku)",100 g,31.0,4.33,0.75,3.94
Green Delight,100 ml,40.0,9.2,0.0,0.4
Daily Greens,100 ml,36.0,8.8,0.0,0.0
Bayam Brazil,100 g,23.0,3.63,0.39,2.86
Mie Bayam,100 g,370.0,82.0,0.0,11.0
Spinach Noodle,100 g,370.0,82.0,0.0,11.0
Sun Bubur Ayam Kampung & Bayam,100 g,400.0,75.0,5.0,10.0
Tropic Green,100 ml,48.0,11.2,0.0,0.8
Daging Dan Kulit Sayap Ayam (Ayam Pedaging),100 g,14.22,0.0,1.03,1.18
Kuah/Kaldu Ayam (Kalengan),100 g,79.0,5.42,5.71,1.93
Salad Ayam,100 g,132.0,7.31,4.94,14.5
Ayam Penyet,100 g,199.0,5.29,8.53,25.05
Taquitos Dengan Ayam,100 g,245.0,19.02,12.63,14.49
Koloke Ayam,100 g,261.0,17.9,9.52,24.09
Tumis Kangkung,100 g,98.0,3.99,8.71,2.56
Kangkung,100 g,20.0,3.18,0.34,2.51
Brokoli Dimasak (Dari Segar),100 g,54.0,6.98,2.69,2.3
Brokoli,100 g,34.0,6.64,0.37,2.82
Brokoli Dimasak (Lemak Tidak Ditambahkan Dalam Masakan),100 g,35.0,7.14,0.41,2.37
"Brokoli Dimasak (Dari Segar, Lemak Tidak Ditambahkan Dalam Masakan)",100 g,35.0,7.14,0.41,2.37
Brokoli Dimasak (Dari Beku),100 g,45.0,5.24,2.06,3.01
Brokoli Sultan,100 g,100.0,11.0,5.0,2.0
"Brokoli Dimasak (Dari Beku, Lemak Tidak Ditambahkan Dalam Masakan)",100 g,28.0,5.32,0.11,3.08
Brokoli Cina (Dimasak),100 g,22.0,3.81,0.72,1.14
"Brokoli (Tusuk, Beku)",100 g,29.0,5.35,0.34,3.06
Beef Stew With Carrot,100 g,400.0,70.0,7.0,16.0
Wortel Dimasak,100 g,54.0,7.99,2.48,0.74
Wortel,100 g,41.0,9.58,0.24,0.93
Kue Wortel Tanpa Lapisan (Gula),100 g,416.0,49.09,23.24,4.22
Nasi Tim Ayam Tomat Wortel,100 g,400.0,76.0,8.0,12.0
Red Rocket,100 ml,36.0,7.6,0.0,0.8
Tropic Golden,100 ml,40.0,8.8,0.0,1.2
Glowing Calamansi,100 ml,44.0,10.0,0.0,0.8
Pepaya,100 g,39.0,9.81,0.14,0.61
Melon,100 g,34.0,8.16,0.19,0.84
Buah Naga,100 g,51.0,12.38,0.38,0.78
Semangka Merah,100 g,30.0,7.55,0.15,0.61
Buah Pir,100 g,58.0,15.46,0.12,0.38
Nanas,100 g,48.0,12.63,0.12,0.54
Pisang,100 g,89.0,22.84,0.33,1.09
Mangga,100 g,65.0,17.0,0.27,0.51
Super Fruit Mix,100 g,320.0,84.0,0.0,0.0
Rujak Buah,100 g,213.0,14.96,15.1,8.53
Stroberi,100 g,32.0,7.68,0.3,0.67
Apel (Tanpa Kulit),100 g,48.0,12.76,0.13,0.27
Jambu Biji,100 g,68.0,14.32,0.95,2.55
Duku,100 g,68.0,17.06,0.43,0.85
Jambu Kristal,100 g,49.0,12.2,0.3,0.9
Nangka,100 g,94.0,24.01,0.3,1.47
Labu Siam,100 g,17.0,3.9,0.13,0.82
Murbei,100 g,43.0,9.8,0.39,1.44
Blewah Melon,100 g,34.0,8.16,0.19,0.84
"Blueberry (Manis, Beku)",100 g,81.0,21.95,0.13,0.4
"Labu Siam (Buah, Dengan Garam, Dikeringkan, Direbus, Dimasak)",100 g,24.0,5.09,0.48,0.62
Pare,100 g,29.0,6.82,0.22,1.12
Terong Belanda,100 g,48.0,8.64,1.15,2.1
Jambu Monyet,100 g,43.0,11.41,0.14,0.21
Timun Suri,100 g,16.0,3.65,0.12,0.65
Jeruk Kimkit,100 g,43.0,11.93,0.27,0.81
Asam Jawa,100 g,239.0,62.5,0.6,2.8
Jambu Jamaika,100 g,48.0,9.99,0.66,1.78
Buah Ara,100 g,74.0,19.18,0.3,0.75
Mangga Muda,100 g,59.0,15.32,0.24,0.46
Fitbar Fruits Delight,100 g,450.0,75.0,17.5,10.0
Pisang Single,100 g,90.0,22.0,0.0,1.0
Buah Srikaya,100 g,94.0,23.64,0.29,2.06
Jeruk Mandarin (Kaleng Atau Beku),100 g,61.0,16.19,0.1,0.45
Kedondong,100 g,41.0,10.0,0.27,0.88
Apel Braeburn,100 g,52.0,13.81,0.17,0.26
Nangka Muda,100 g,54.0,11.89,0.36,2.3
Rasberi Beku,100 g,103.0,26.16,0.16,0.7
Stroberi Beku,100 g,87.0,23.46,0.14,0.52
Belimbing,100 g,31.0,6.73,0.33,1.04
"Nanas Potongan (Manis, Beku)",100 g,86.0,22.2,0.1,0.4
Ceri Merah Asam,100 g,50.0,12.18,0.3,1.0
Manggis,100 g,73.0,17.91,0.58,0.41
Sirsak,100 g,66.0,16.84,0.3,1.0
Jeruk (Dengan Kulit),100 g,63.0,15.5,0.3,1.3
Pisang Kepok,100 g,104.0,27.44,0.26,0.97
Semangka Kuning,100 g,30.0,7.55,0.15,0.61
Rasberi Beku Tanpa Pemanis,100 g,52.0,11.94,0.65,1.2
"Jeruk Keprok (Jeruk Mandarin,  Sirup Ringan Kemasan, Kalengan)",100 g,15400.0,4080.0,25.0,113.0
Mix Fruit,100 ml,100.0,22.86,0.0,0.0
Kismis (Tanpa Biji),100 g,299.0,79.18,0.46,3.07
Sukun,100 g,103.0,27.12,0.23,1.07
Pisang Kepok Rebus,100 g,115.0,30.08,0.35,1.23
Matoa,100 g,87.0,21.4,0.49,1.05
Jamblang,100 g,60.0,15.56,0.23,0.72
Rasberi,100 g,52.0,11.94,0.65,1.2
Beri,100 g,33.0,7.98,0.3,0.68
Stroberi Beku Tanpa Pemanis,100 g,35.0,9.13,0.11,0.43
"Blueberry (Tanpa Pemanis, Beku)",100 g,51.0,12.17,0.64,0.42
Kesemek,100 g,70.0,18.59,0.19,0.58
Durian,100 g,147.0,27.09,5.33,1.47
Apel Granny Smith,100 g,52.0,13.81,0.17,0.26
Stroberi Dalam Sirup (Dimasak Atau Kalengan),100 g,92.0,23.53,0.26,0.56
Jeruk Bali (Merah Dan Merah Muda),100 g,42.0,10.66,0.14,0.77
Apel Fuji,100 g,52.0,13.81,0.17,0.26
Jambu Air,100 g,46.0,11.66,0.27,0.5
Banana,100 g,91.3,23.39,0.35,1.13
Pisang Mas,100 g,90.0,23.27,0.33,1.1
Pisang Raja,100 g,122.0,30.73,0.34,0.97
Pisang Uli,100 g,143.0,35.55,0.56,1.08
Pisang Barangan,100 g,107.0,27.87,0.35,1.21
Pisang Tanduk,100 g,122.0,31.89,0.37,1.3
Pisang Susu,100 g,94.0,23.03,0.33,1.42
Pisang Lampung,100 g,99.0,25.65,0.34,1.15
Pisang Raja Direbus Matang,100 g,115.0,30.96,0.18,0.78
Pisang Nugget,100 g,300.0,35.0,15.0,4.0
Pisang Keju,100 g,250.0,25.53,13.64,8.62
Jantung Pisang,100 g,123.0,31.83,0.35,1.4
Keripik Pisang,100 g,519.0,58.4,33.6,2.3
Pisang Bolen Cokelat,100 g,400.0,40.0,24.0,8.0
Lapis Kukus Pisang Cokelat,100 g,380.0,42.0,22.0,6.0
Sale Pisang,100 g,276.0,66.51,0.9,2.87
Carang Gesing,100 g,81.0,13.44,2.36,2.78
Cavendish Banana Chips,100 g,600.0,53.33,40.0,3.33
Coklat Pisang,100 ml,72.0,12.8,1.6,1.6
Getuk Pisang,100 g,142.0,34.12,0.44,1.14
Pisang Molen,100 g,275.0,39.05,11.68,3.91
Puding Pisang,100 g,127.0,21.2,3.6,2.4
Pisang Goroho,100 g,111.0,28.04,0.27,1.53
Sanggara Belanda,100 g,242.0,36.71,10.83,3.58
Yogurt Banana Berries,100 g,85.71,12.86,2.86,2.86
Nutrijell Rasa Pisang,100 g,400.0,70.0,15.0,0.0
Es Kul Kul Pisang,100 g,90.0,23.15,0.47,1.28
Roti Isi Pisang Coklat,100 g,342.86,54.29,10.0,8.57
Soft Cake Choco Banana,100 g,400.0,52.0,18.67,5.33
Yoghurt Drink Low Fat Banana,100 ml,79.17,16.25,1.04,1.67
Lada Pisang,100 g,27.0,5.35,0.45,1.66
Low Fat Banana,100 ml,80.0,15.2,0.8,2.8
Chocolate H1Gh,100 ml,132.0,14.4,4.8,8.8
Susu Pisang,100 g,72.0,12.0,2.0,2.4
Tepung Pisang Crispy,100 g,350.0,80.0,0.0,5.0
Cavendish Banana Chips Chocolate,100 g,550.0,55.0,35.0,5.0
Banana Blast,100 ml,73.68,11.58,2.37,2.11
Banana Milk,100 ml,66.67,9.44,1.94,2.22
Peach Berry,100 ml,36.0,9.2,0.0,0.0
Good To Go Banana Strawberry (250Ml),100 ml,68.0,11.6,1.4,2.4
Roti Manis Cokelat Pisang,100 g,344.44,53.33,10.0,7.78
Roti Isi Rasa Cokelat-Pisang,100 g,345.45,58.18,8.18,7.27
Pisang Goreng,100 g,263.16,43.16,8.42,3.16
Roti Manis Isi Pisang Cokelat,100 g,270.0,43.0,8.0,5.0
Susu Uht Rasa Pisang,100 g,140.0,22.0,4.5,4.0
Squeeze Yogurt Cavendish Banana,100 g,100.0,14.29,2.86,4.29
Susu Rasa Pisang,100 ml,94.74,12.63,2.63,3.16
Yogurt Drink Banana,100 ml,125.0,38.0,2.0,7.0
Good To Go Cereal Milk Banana,100 ml,68.0,11.6,1.4,2.4
Sun Bubur Susu Sereal Pisang,100 g,400.0,80.0,7.5,10.0
Oatmeal Instan Rasa Pisang & Madu,100 g,400.0,80.0,6.67,10.0
Prime Duo Custard Pisang & Cokelat,100 g,345.45,52.73,12.73,9.09
Roti Sandwich Funwari Pisang Susu,100 g,274.73,48.35,6.59,6.59
Nasi Padang Rendang,100 g,181.48,17.59,10.19,5.19
Swiss Roll Strawberry,100 g,388.89,61.11,16.67,5.56
Serealfit,100 g,130.0,25.0,2.5,2.0
Salju Kreker Rasa Original,100 g,500.0,70.0,20.0,0.0
Muffin Cup Cake,100 g,444.44,50.0,22.22,5.56
Britobar,100 g,454.55,63.64,18.18,9.09
Jus Apel,100 g,11700.0,2897.0,27.0,15.0
Green3St,100 ml,28.0,5.6,0.0,1.2
Greenfield Organic,100 g,357.14,85.71,0.0,14.29
Fruit Tea Apel,100 ml,32.0,7.6,0.0,0.0
Pai Apel,100 g,265.0,37.1,12.5,2.4
Jus Apel (Kaleng Atau Botol),100 g,11700.0,2897.0,27.0,15.0
Jus Cranberry-Apel (Botol),100 g,15400.0,3883.0,27.0,0.0
Apple Cider Vinegar,100 ml,0.0,0.0,0.0,0.0
Minuman Jus Apel,100 g,12500.0,3227.0,7.0,5.0
Frestea Apel,100 g,40.0,9.6,0.0,0.0
Pai Apel (Satu Kerak),100 g,242.0,39.02,9.25,1.81
Lychee & Apple Tea,100 ml,44.0,10.8,0.0,0.0
Sari Apel,100 ml,49.0,12.24,0.12,0.06
Saus Apel Tanpa Pemanis,100 g,43.0,11.29,0.05,0.17
Teajus Apel,100 g,357.14,100.0,0.0,0.0
Minuman Sari Buah Apel,100 g,5000.0,1300.0,0.0,0.0
"Jus Apel (Berkonsentrasi Beku, Diencerkan Dengan Air)",100 g,11200.0,2758.0,24.0,33.0
